userId,userType,userInCell,profileInServ,queue,requestUnit
1,mobile,1,1,0,5
2,mobile,1,1,0,5
3,mobile,1,1,0,5
4,mobile,1,1,0,5
5,car,1,1,0,5
6,car,1,1,0,5
7,notepad,1,1,0,10
8,notepad,1,1,0,10
9,mobile,1,1,0,5
10,mobile,1,1,0,5
11,mobile,1,1,0,5
12,mobile,1,1,0,5
13,mobile,1,1,0,5
14,mobile,1,1,0,5
15,car,1,1,0,5
16,car,1,1,0,5
17,notepad,1,1,0,10
18,notepad,1,1,0,10
19,mobile,1,1,0,5
20,mobile,1,1,0,5
21,mobile,1,1,0,5
22,mobile,1,1,0,5
23,mobile,1,1,0,5
24,mobile,1,1,0,5
25,car,1,1,0,5
26,car,1,1,0,5
27,notepad,1,1,0,10
28,notepad,1,1,0,10
29,mobile,1,1,0,5
30,mobile,1,1,0,5
31,mobile,1,1,0,5
32,mobile,1,1,0,5
33,mobile,1,1,0,5
34,mobile,1,1,0,5
35,car,1,1,0,5
36,car,1,1,0,5
37,notepad,1,1,0,10
38,notepad,1,1,0,10
39,mobile,1,1,0,5
40,mobile,1,1,0,5
41,mobile,1,1,0,5
42,mobile,1,1,0,5
43,mobile,1,1,0,5
44,mobile,1,1,0,5
45,car,1,1,0,5
46,car,1,1,0,5
47,notepad,1,1,0,10
48,notepad,1,1,0,10
49,mobile,1,1,0,5
50,mobile,1,1,0,5
